pair_id	concept1	concept2	all_n	all_mean	mturk_n	mturk_mean	scholar_n	scholar_mean	scholar-in_n	scholar-in_mean
-6525411595085127680	aging	cognitive development	45	3.84444444444	15	3.6	16	3.875	9	4.22222222222
-9057364896030340606	behavioral ecology	biology	42	3.61904761905	14	2.92857142857	17	4.0	9	3.77777777778
-949507710656346618	Irish history	gardens	51	1.80392156863	18	1.66666666667	23	1.82608695652	9	2.11111111111
-8738752630563701235	animal	tiger	25	4.76	7	5.0	16	4.625	0	0.0
-6561775989117416944	invasive species	biology	50	4.3	13	4.07692307692	24	4.33333333333	10	4.4
-6663420231204116461	psychology	history of psychology	40	4.35	14	4.57142857143	17	4.29411764706	6	4.33333333333
1397341342461345813	physiology	microbiology	49	3.48979591837	19	3.10526315789	18	3.66666666667	10	3.6
-4813569793569428969	evolution	biology	50	4.68	13	4.30769230769	22	4.68181818182	11	5.0
-8022886400565091816	biological sciences	population genetics	50	4.28	13	4.15384615385	22	4.27272727273	9	4.33333333333
-628608939585930852	plant biology	biology	51	4.66666666667	16	4.4375	21	4.80952380952	10	4.7
-2773076282317620709	Arafat	peace	30	2.7	9	1.33333333333	21	3.28571428571	0	0.0
-1753806896772993104	emotion	developmental psychology	51	4.0	14	3.85714285714	25	4.08	6	4.0
4428913136340634658	South Asia	popular religion	48	2.625	15	2.6	20	2.25	10	3.7
3241677393372840999	culture	ministry	27	2.25925925926	12	2.0	14	2.57142857143	0	0.0
-7030686482928813988	clinical psychology	consciousness	45	3.33333333333	16	3.3125	21	3.52380952381	5	3.0
-7083210188304282579	parasitology	biogeography	45	3.24444444444	14	2.78571428571	19	3.47368421053	9	3.44444444444
5880154394461505073	cognitive psychology	psychophysiology	42	3.28571428571	14	2.64285714286	21	3.7619047619	6	3.16666666667
8770836133491225139	positive psychology	cognition	40	3.425	11	3.09090909091	17	3.58823529412	7	3.42857142857
-8442761120523368906	writing	popular religion	53	2.43396226415	14	2.07142857143	23	2.30434782609	13	3.07692307692
-3768115245654797256	positive psychology	learning	39	3.07692307692	13	3.0	13	3.38461538462	10	2.7
2016572623248691258	biodiversity	evolutionary biology	48	4.52083333333	15	3.8	19	4.89473684211	10	4.8
-8148787809656418835	animal behavior	sustainability	48	2.58333333333	15	2.26666666667	22	3.09090909091	11	2.0
5500922064033146037	architecture	observation	31	2.32258064516	9	2.0	20	2.4	0	0.0
-4251026057342138784	cognitive psychology	music	51	3.0	13	2.61538461538	25	3.04	7	4.0
3872336638164525476	active learning	biogeography	42	2.07142857143	13	2.53846153846	17	1.94117647059	9	1.77777777778
-2110279389753395631	research methods	linguistics	46	2.84782608696	14	2.42857142857	21	3.33333333333	7	2.71428571429
8696725949708939619	molecular biology	evolution	50	3.88	19	3.31578947368	17	4.29411764706	12	4.0
4254981688378439770	writing	historical memory	48	3.27083333333	14	2.64285714286	24	3.41666666667	7	4.14285714286
-3701200350776934308	food	cup	30	2.8	10	2.9	19	2.84210526316	0	0.0
